GID,PID,OFF,DEF,TYPE,DSEQ,LEN,QTR,MIN,SEC,PTSO,PTSD,DWN,YTG,YFOG,ZONE,PTS,FGXP,FKICKER,DIST,GOOD,SEAS,WEEK,DAY,V,H,STAD,TEMP,HUMD,WSPD,COND,SURF,COND2
1372,223436,NO,BUF,FGXP,12,4,3,8,1,13,7,4,4,86,5,NA,FG,JC-090,32,0,2005,4,SUN,BUF,NO,AlamoDome,72,,,Dome,Synthetic,Clean
1401,228184,NO,ATL,FGXP,10,4,2,0,4,10,10,4,22,71,4,-7,FG,JC-090,47,0,2005,6,SUN,ATL,NO,AlamoDome,,,,Dome,Synthetic,Clean
1401,228156,NO,ATL,FGXP,7,3,2,9,58,7,3,4,1,99,5,3,FG,JC-090,19,1,2005,6,SUN,ATL,NO,AlamoDome,,,,Dome,Synthetic,Clean
1372,223477,NO,BUF,FGXP,11,3,4,5,2,13,7,4,2,98,5,3,FG,JC-090,20,1,2005,4,SUN,BUF,NO,AlamoDome,72,,,Dome,Synthetic,Clean
1552,252895,NO,DET,FGXP,17,3,4,1,55,9,10,4,2,98,5,3,FG,JC-090,20,1,2005,16,SUN,DET,NO,AlamoDome,68,,,Dome,Synthetic,Clean
1372,223390,NO,BUF,FGXP,13,3,2,9,8,0,7,4,4,95,5,3,FG,JC-090,23,1,2005,4,SUN,BUF,NO,AlamoDome,72,,,Dome,Synthetic,Clean
1552,252847,NO,DET,FGXP,4,4,3,5,53,6,7,4,4,85,5,3,FG,JC-090,33,1,2005,16,SUN,DET,NO,AlamoDome,68,,,Dome,Synthetic,Clean
1552,252817,NO,DET,FGXP,12,4,2,1,8,0,7,4,7,84,5,3,FG,JC-090,35,1,2005,16,SUN,DET,NO,AlamoDome,68,,,Dome,Synthetic,Clean
1372,223490,NO,BUF,FGXP,8,4,4,1,13,16,7,4,3,81,5,3,FG,JC-090,37,1,2005,4,SUN,BUF,NO,AlamoDome,72,,,Dome,Synthetic,Clean
1372,223421,NO,BUF,FGXP,6,3,2,0,13,10,7,1,10,78,4,3,FG,JC-090,40,1,2005,4,SUN,BUF,NO,AlamoDome,72,,,Dome,Synthetic,Clean
