GID,PID,OFF,DEF,TYPE,DSEQ,LEN,QTR,MIN,SEC,PTSO,PTSD,DWN,YTG,YFOG,DIST,ZONE,PTS,FGXP,FKICKER,GOOD,pDiff,SURF,COND2
1,95,ATL,SF,1,7,3,2,0,0,19,14,1,5,69,49,4,3,FG,MA-070,Y,0.036350772,Synthetic,Clean
1,64,ATL,SF,1,6,3,2,8,29,9,7,4,7,74,44,4,3,FG,MA-070,Y,0.061939183,Synthetic,Clean
1,131,ATL,SF,0,0,10,3,5,32,36,21,4,2,40,78,2,NA,,MA-070,,0.016769891,Synthetic,Clean
1,22,ATL,SF,0,0,10,1,8,0,3,7,4,1,25,93,2,NA,,MA-070,,0.068916332,Synthetic,Clean
1,17,ATL,SF,1,6,3,1,10,25,0,7,4,7,75,43,4,3,FG,MA-070,Y,-0.05671884,Synthetic,Clean
1,119,SF,ATL,0,0,10,3,9,10,21,29,4,11,30,88,2,NA,,WR-050,,0.043256291,Synthetic,Clean
1,70,ATL,SF,0,0,10,2,5,38,12,7,4,5,29,89,2,NA,,MA-070,,0.093489093,Synthetic,Clean
1,149,SF,ATL,0,13,30,4,14,7,21,36,4,3,96,22,5,NA,,WR-050,,0.008145681,Synthetic,Clean
1,34,ATL,SF,1,10,3,1,6,20,3,7,4,9,73,45,4,3,FG,MA-070,Y,0.010608914,Synthetic,Clean
1,39,ATL,SF,0,0,10,1,1,47,6,7,4,4,26,92,2,NA,,MA-070,,0.094534895,Synthetic,Clean
1,52,ATL,SF,1,11,3,2,11,39,6,7,4,6,94,24,5,3,FG,MA-070,Y,0.006129509,Synthetic,Clean
1,57,ATL,SF,0,0,10,2,9,41,9,7,4,3,14,104,1,NA,,MA-070,,0.05732823,Synthetic,Clean
1,136,SF,ATL,0,0,10,4,15,0,21,36,4,3,49,69,3,NA,,WR-050,,0.008743516,Synthetic,Clean
2,241,JAC,CLE,1,12,4,2,0,34,7,7,4,23,68,50,4,3,FG,MH-310,Y,0.061197407,Grass,Clean
2,213,JAC,CLE,0,0,10,2,11,43,7,0,4,6,36,82,2,NA,,MH-310,,0.050870424,Grass,Clean
2,218,CLE,JAC,0,0,10,2,9,5,0,7,4,8,37,81,2,NA,,PD-020,,0.042118809,Grass,Clean
2,179,JAC,CLE,0,0,10,1,11,50,0,0,4,2,28,90,2,NA,,MH-310,,0.006111959,Grass,Clean
2,175,CLE,JAC,0,0,10,1,15,0,0,0,4,10,59,59,3,NA,,PD-020,,0.013012751,Grass,Clean
2,277,JAC,CLE,1,10,3,3,5,53,17,7,4,7,93,25,5,3,FG,MH-310,Y,-0.015345198,Grass,Clean
2,183,CLE,JAC,0,0,10,1,10,11,0,0,4,6,19,99,1,NA,,PD-020,,0.072335756,Grass,Clean
2,191,JAC,CLE,0,0,10,1,9,8,0,0,4,13,43,75,3,NA,,MH-310,,0.042207816,Grass,Clean
2,267,JAC,CLE,0,0,10,3,7,39,17,7,4,8,22,96,2,NA,,MH-310,,0.053212541,Grass,Clean
2,187,CLE,JAC,0,4,35,1,9,8,0,0,4,1,44,74,3,NA,,PD-020,,0.048539599,Grass,Clean
2,282,JAC,CLE,0,0,10,4,15,0,20,7,4,5,22,96,2,NA,,MH-310,,0.032043611,Grass,Clean
2,310,CLE,JAC,0,9,20,4,2,0,7,27,4,8,70,48,4,NA,,PD-020,,-0.002598527,Grass,Clean
3,338,DAL,PHI,0,0,10,1,5,53,0,7,4,3,59,59,3,NA,,TS-110,,0.086153615,Synthetic,Clean
3,375,PHI,DAL,1,13,3,2,7,6,21,0,4,5,85,33,5,3,FG,DA-030,Y,0.080872032,Synthetic,Clean
3,342,PHI,DAL,0,0,10,1,4,56,7,0,4,7,23,95,2,NA,,DA-030,,0.120606657,Synthetic,Clean
3,332,PHI,DAL,0,0,10,1,8,24,7,0,4,23,47,71,3,NA,,DA-030,,0.073887491,Synthetic,Clean
3,437,PHI,DAL,0,0,10,4,13,35,34,6,4,9,21,97,2,NA,,DA-030,,0.007377273,Synthetic,Clean
3,387,DAL,PHI,1,4,3,2,3,35,0,24,4,8,83,35,5,3,FG,TS-110,Y,-0.004421037,Synthetic,Clean
3,393,DAL,PHI,0,0,28,2,1,10,3,24,4,18,34,84,2,NA,,TS-110,,0.075632943,Synthetic,Clean
3,380,PHI,DAL,0,0,10,2,4,54,24,0,4,11,24,94,2,NA,,DA-030,,0.038756659,Synthetic,Clean
3,422,PHI,DAL,0,0,10,3,4,57,27,6,4,7,34,84,2,NA,,DA-030,,0.012147122,Synthetic,Clean
3,362,PHI,DAL,0,0,14,2,12,26,21,0,4,21,18,100,1,NA,,DA-030,,-0.024001257,Synthetic,Clean
3,473,PHI,DAL,0,0,10,4,2,45,41,14,4,13,22,96,2,NA,,DA-030,,-0.013587673,Synthetic,Clean
3,416,PHI,DAL,1,14,3,3,7,21,24,6,4,1,81,37,5,3,FG,DA-030,Y,0.016696419,Synthetic,Clean
